threshold,f1,precision,recall
0.6900000000000001,0.40853658536585363,0.37222222222222223,0.4527027027027027
0.6950000000000001,0.4049079754601227,0.3707865168539326,0.44594594594594594
0.7000000000000001,0.4049079754601227,0.3707865168539326,0.44594594594594594
0.705,0.40372670807453415,0.3735632183908046,0.4391891891891892
0.71,0.4,0.3772455089820359,0.42567567567567566
0.715,0.4,0.38271604938271603,0.4189189189189189
0.72,0.39215686274509803,0.379746835443038,0.40540540540540543
0.725,0.39473684210526316,0.38461538461538464,0.40540540540540543
0.73,0.3879598662207358,0.3841059602649007,0.3918918918918919
0.735,0.3724137931034483,0.38028169014084506,0.36486486486486486
0.74,0.375,0.38571428571428573,0.36486486486486486
0.745,0.3591549295774648,0.375,0.34459459459459457
0.75,0.3546099290780142,0.373134328358209,0.33783783783783783
0.755,0.35714285714285715,0.3787878787878788,0.33783783783783783
0.76,0.35294117647058826,0.3870967741935484,0.32432432432432434
0.765,0.3582089552238806,0.4,0.32432432432432434
0.77,0.3484848484848485,0.39655172413793105,0.3108108108108108
0.775,0.35384615384615387,0.4107142857142857,0.3108108108108108
0.78,0.34782608695652173,0.41904761904761906,0.2972972972972973
0.785,0.344,0.4215686274509804,0.2905405405405405
0.79,0.3467741935483871,0.43,0.2905405405405405
0.795,0.3442622950819672,0.4375,0.28378378378378377
0.8,0.35,0.45652173913043476,0.28378378378378377
0.805,0.3459915611814346,0.4606741573033708,0.27702702702702703
0.81,0.3404255319148936,0.45977011494252873,0.2702702702702703
0.8150000000000001,0.3333333333333333,0.45348837209302323,0.2635135135135135
0.8200000000000001,0.33476394849785407,0.4588235294117647,0.2635135135135135
0.8250000000000001,0.3333333333333333,0.475,0.25675675675675674
0.8300000000000001,0.3377777777777778,0.4935064935064935,0.25675675675675674
0.835,0.33183856502242154,0.49333333333333335,0.25
0.84,0.3105022831050228,0.4788732394366197,0.22972972972972974
0.845,0.3055555555555556,0.4852941176470588,0.22297297297297297
0.85,0.27053140096618356,0.4745762711864407,0.1891891891891892
0.855,0.25870646766169153,0.49056603773584906,0.17567567567567569
0.86,0.21761658031088082,0.4666666666666667,0.14189189189189189
0.865,0.18181818181818182,0.4358974358974359,0.11486486486486487
0.87,0.17486338797814208,0.45714285714285713,0.10810810810810811
0.875,0.15819209039548024,0.4827586206896552,0.0945945945945946
0.88,0.1590909090909091,0.5,0.0945945945945946
0.885,0.11695906432748537,0.43478260869565216,0.06756756756756757
0.89,0.10650887573964497,0.42857142857142855,0.060810810810810814
0.895,0.09580838323353294,0.42105263157894735,0.05405405405405406
0.9,0.0736196319018405,0.4,0.04054054054054054
0.905,0.050314465408805034,0.36363636363636365,0.02702702702702703
0.91,0.050955414012738856,0.4444444444444444,0.02702702702702703
0.915,0.0392156862745098,0.6,0.02027027027027027
0.92,0.026490066225165563,0.6666666666666666,0.013513513513513514
0.925,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.935,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0
0.9450000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.9550000000000001,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.965,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.975,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.985,0.0,0.0,0.0
0.99,0.0,0.0,0.0
0.995,0.0,0.0,0.0
1.0,0.0,0.0,0.0
